LocationDesc,Data Range,ProvisionValue
Alabama,$0.50 to $0.99,0.675
Alaska,$2.00 to $3.99,2
American Samoa,$4.00 to $6.00,6
Arizona,$2.00 to $3.99,2
Arkansas,$1.00 to $1.49,1.15
California,$2.00 to $3.99,2.87
Colorado,$1.50 to $1.99,1.94
Connecticut,$4.00 to $6.00,4.35
Delaware,$2.00 to $3.99,2.1
District of Columbia,$4.00 to $6.00,4.94
Florida,$1.00 to $1.49,1.339
Georgia,Less than $0.50,0.37
Guam,$4.00 to $6.00,4
Hawaii,$2.00 to $3.99,3.2
Idaho,$0.50 to $0.99,0.57
Illinois,$2.00 to $3.99,2.98
Indiana,$0.50 to $0.99,0.995
Iowa,$1.00 to $1.49,1.36
Kansas,$1.00 to $1.49,1.29
Kentucky,$1.00 to $1.49,1.1
Louisiana,$1.00 to $1.49,1.08
Maine,$2.00 to $3.99,2
Marshall Islands,$1.00 to $1.49,1
Maryland,$2.00 to $3.99,3.75
Massachusetts,$2.00 to $3.99,3.51
Michigan,$2.00 to $3.99,2
Minnesota,$2.00 to $3.99,3.04
Mississippi,$0.50 to $0.99,0.68
Missouri,Less than $0.50,0.17
Montana,$1.50 to $1.99,1.7
Nebraska,$0.50 to $0.99,0.64
Nevada,$1.50 to $1.99,1.8
New Hampshire,$1.50 to $1.99,1.78
New Jersey,$2.00 to $3.99,2.7
New Mexico,$2.00 to $3.99,2
New York,$4.00 to $6.00,4.35
North Carolina,Less than $0.50,0.45
North Dakota,Less than $0.50,0.44
Northern Marianas,$2.00 to $3.99,3.75
Ohio,$1.50 to $1.99,1.6
Oklahoma,$2.00 to $3.99,2.03
Oregon,$2.00 to $3.99,3.33
Palau,$4.00 to $6.00,5
Pennsylvania,$2.00 to $3.99,2.6
Puerto Rico,$4.00 to $6.00,5.1
Rhode Island,$4.00 to $6.00,4.25
South Carolina,$0.50 to $0.99,0.57
South Dakota,$1.50 to $1.99,1.53
Tennessee,$0.50 to $0.99,0.62
Texas,$1.00 to $1.49,1.41
Utah,$1.50 to $1.99,1.7
Vermont,$2.00 to $3.99,3.08
Virgin Islands,$1.00 to $1.49,1.1
Virginia,$0.50 to $0.99,0.6
Washington,$2.00 to $3.99,3.025
West Virginia,$1.00 to $1.49,1.2
Wisconsin,$2.00 to $3.99,2.52
Wyoming,$0.50 to $0.99,0.6
