YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2017,2017,AK,Alaska,SEDD; SID,Asthma,Emergency department visit rate for asthma,,"cases per 10,000",Age-adjusted Rate,,,-,No data available,,,Race/Ethnicity,Hispanic,,,,,,02,AST,AST2_1,AGEADJRATE,RACE,HIS,,,,
2016,2016,AL,Alabama,NVSS,Asthma,Asthma mortality rate,,"cases per 1,000,000",Crude Rate,16.8,16.8,,,10.5,25.4,Race/Ethnicity,"Black, non-Hispanic",,,,,,01,AST,AST4_1,CRDRATE,RACE,BLK,,,,
2014,2014,AL,Alabama,SEDD; SID,Asthma,Hospitalizations for asthma,,"cases per 10,000",Crude Rate,,,-,No data available,,,Gender,Male,,,,,,01,AST,AST3_1,CRDRATE,GENDER,GENM,,,,
2014,2014,AR,Arkansas,NVSS,Asthma,Asthma mortality rate,,,Number,,,~,Data not shown because of too few respondents or cases,,,Gender,Female,,,,,,05,AST,AST4_1,NMBR,GENDER,GENF,,,,
2016,2016,AR,Arkansas,NVSS,Asthma,Asthma mortality rate,,,Number,28,28,,,,,Gender,Female,,,,,,05,AST,AST4_1,NMBR,GENDER,GENF,,,,
2016,2016,AR,Arkansas,SEDD; SID,Asthma,Emergency department visit rate for asthma,,,Number,138,138,,,,,Race/Ethnicity,Asian or Pacific Islander,,,,,,05,AST,AST2_1,NMBR,RACE,API,,,,
2016,2016,AR,Arkansas,SEDD; SID,Asthma,Hospitalizations for asthma,,,Number,554,554,,,,,Gender,Male,,,,,,05,AST,AST3_1,NMBR,GENDER,GENM,,,,
2017,2017,AZ,Arizona,SEDD; SID,Asthma,Emergency department visit rate for asthma,,,Number,13497,"13,497",,,,,Gender,Male,,,,,,04,AST,AST2_1,NMBR,GENDER,GENM,,,,
2014,2014,AZ,Arizona,SEDD; SID,Asthma,Hospitalizations for asthma,,,Number,3408,"3,408",,,,,Gender,Female,,,,,,04,AST,AST3_1,NMBR,GENDER,GENF,,,,
2015,2015,CA,California,NVSS,Asthma,Asthma mortality rate,,,Number,241,241,,,,,Gender,Female,,,,,,06,AST,AST4_1,NMBR,GENDER,GENF,,,,
