YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2011,2011,AK,Alaska,PRAMS,Tobacco,Cigarette smoking before pregnancy,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,02,TOB,TOB1_4,CRDPREV,OVERALL,OVR,,,,
2017,2017,AZ,Arizona,YRBSS,Tobacco,Current smokeless tobacco use among youth,,%,Crude Prevalence,4.3,4.3,,,2.4,7.7,Race/Ethnicity,Hispanic,,,,,,04,TOB,TOB2_1,CRDPREV,RACE,HIS,,,,
2017,2017,DE,Delaware,YRBSS,Tobacco,Current smokeless tobacco use among youth,,%,Crude Prevalence,5.5,5.5,,,4.1,7.2,Gender,Male,,,,,,10,TOB,TOB2_1,CRDPREV,GENDER,GENM,,,,
2017,2017,GU,Guam,STATE,Tobacco,Amount of tobacco product excise tax,,,Yes/No,No,,,,,,Overall,Overall,,,,,,66,TOB,TOB7_0,YESNO,OVERALL,OVR,,,,
2019,2019,ID,Idaho,STATE,Tobacco,Amount of tobacco product excise tax,,,Yes/No,No,,,,,,Overall,Overall,,,,,,16,TOB,TOB7_0,YESNO,OVERALL,OVR,,,,
2016,2016,MD,Maryland,STATE,Tobacco,Sale of cigarette packs,,pack sales per capita,Number,30.4,30.4,,,,,Overall,Overall,,,,,,24,TOB,TOB10_0,NMBR,OVERALL,OVR,,,,
2012,2012,ME,Maine,PRAMS,Tobacco,Cigarette smoking before pregnancy,,%,Crude Prevalence,35,35,,,30.9,39.4,Overall,Overall,,,,,,23,TOB,TOB1_4,CRDPREV,OVERALL,OVR,,,,
2013,2013,NC,North Carolina,STATE,Tobacco,Amount of tobacco product excise tax,,,Yes/No,No,,,,,,Overall,Overall,,,,,,37,TOB,TOB7_0,YESNO,OVERALL,OVR,,,,
2013,2013,ND,North Dakota,PRAMS,Tobacco,Cigarette smoking before pregnancy,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,38,TOB,TOB1_4,CRDPREV,OVERALL,OVR,,,,
2015,2015,NH,New Hampshire,PRAMS,Tobacco,Cigarette smoking before pregnancy,,%,Crude Prevalence,23.6,23.6,,,19.4,28.3,Race/Ethnicity,"White, non-Hispanic",,,,,,33,TOB,TOB1_4,CRDPREV,RACE,WHT,,,,
2015,2015,NJ,New Jersey,YRBSS,Tobacco,Current smokeless tobacco use among youth,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,34,TOB,TOB2_1,CRDPREV,OVERALL,OVR,,,,
2013,2013,NV,Nevada,YRBSS,Tobacco,Current cigarette smoking among youth,,%,Crude Prevalence,8.7,8.7,,,6.4,11.7,Race/Ethnicity,Hispanic,,,,,,32,TOB,TOB1_1,CRDPREV,RACE,HIS,,,,
2015,2015,OH,Ohio,STATE,Tobacco,Amount of tobacco product excise tax,,,Yes/No,No,,,,,,Overall,Overall,,,,,,39,TOB,TOB7_0,YESNO,OVERALL,OVR,,,,
2017,2017,OR,Oregon,YRBSS,Tobacco,Current cigarette smoking among youth,,%,Crude Prevalence,,,-,No data available,,,Gender,Male,,,,,,41,TOB,TOB1_1,CRDPREV,GENDER,GENM,,,,
2013,2013,VA,Virginia,STATE,Tobacco,Amount of tobacco product excise tax,,,Yes/No,No,,,,,,Overall,Overall,,,,,,51,TOB,TOB7_0,YESNO,OVERALL,OVR,,,,
2017,2017,WA,Washington,YRBSS,Tobacco,Current cigarette smoking among youth,,%,Crude Prevalence,,,-,No data available,,,Overall,Overall,,,,,,53,TOB,TOB1_1,CRDPREV,OVERALL,OVR,,,,
2019,2019,WV,West Virginia,STATE,Tobacco,Amount of tobacco product excise tax,,,Yes/No,No,,,,,,Overall,Overall,,,,,,54,TOB,TOB7_0,YESNO,OVERALL,OVR,,,,
2017,2017,AR,Arkansas,YRBSS,Tobacco,Current smokeless tobacco use among youth,,%,Crude Prevalence,12.7,12.7,,,10.1,15.8,Overall,Overall,,,,,,05,TOB,TOB2_1,CRDPREV,OVERALL,OVR,,,,
2017,2017,AZ,Arizona,STATE,Tobacco,States that allow stronger local tobacco control and prevention laws,,,Yes/No,No,,,,,,Overall,Overall,,,,,,04,TOB,TOB4_0,YESNO,OVERALL,OVR,,,,
2015,2015,CA,California,YRBSS,Tobacco,Current cigarette smoking among youth,,%,Crude Prevalence,7.5,7.5,,,5.8,9.8,Race/Ethnicity,Hispanic,,,,,,06,TOB,TOB1_1,CRDPREV,RACE,HIS,,,,
2018,2018,CA,California,STATE,Tobacco,States with strong polices that require retail licenses to sell tobacco products,,,Yes/No,Yes,,,,,,Overall,Overall,,,,,,06,TOB,TOB5_0,YESNO,OVERALL,OVR,,,,
2013,2013,CO,Colorado,PRAMS,Tobacco,Cigarette smoking before pregnancy,,%,Crude Prevalence,19.6,19.6,,,17,22.3,Overall,Overall,,,,,,08,TOB,TOB1_4,CRDPREV,OVERALL,OVR,,,,
2020,2020,DC,District of Columbia,STATE,Tobacco,Amount of tobacco product excise tax,,,Yes/No,Yes,,,,,,Overall,Overall,,,,,,11,TOB,TOB7_0,YESNO,OVERALL,OVR,,,,
2015,2015,CT,Connecticut,YRBSS,Tobacco,Current cigarette smoking among youth,,%,Crude Prevalence,8.2,8.2,,,6.3,10.5,Gender,Female,,,,,,09,TOB,TOB1_1,CRDPREV,GENDER,GENF,,,,
2019,2019,CO,Colorado,STATE,Tobacco,States with strong polices that require retail licenses to sell tobacco products,,,Yes/No,No,,,,,,Overall,Overall,,,,,,08,TOB,TOB5_0,YESNO,OVERALL,OVR,,,,
2012,2012,DE,Delaware,PRAMS,Tobacco,Cigarette smoking before pregnancy,,%,Crude Prevalence,34.5,34.5,,,30.7,38.5,Race/Ethnicity,"White, non-Hispanic",,,,,,10,TOB,TOB1_4,CRDPREV,RACE,WHT,,,,
2017,2017,FL,Florida,YRBSS,Tobacco,Current cigarette smoking among youth,,%,Crude Prevalence,5.5,5.5,,,4.4,6.9,Race/Ethnicity,Hispanic,,,,,,12,TOB,TOB1_1,CRDPREV,RACE,HIS,,,,
2017,2017,FL,Florida,YRBSS,Tobacco,Current cigarette smoking among youth,,%,Crude Prevalence,3.6,3.6,,,2.8,4.6,Race/Ethnicity,"Black, non-Hispanic",,,,,,12,TOB,TOB1_1,CRDPREV,RACE,BLK,,,,
2013,2013,DE,Delaware,PRAMS,Tobacco,Cigarette smoking before pregnancy,,%,Crude Prevalence,32.6,32.6,,,28.7,36.7,Race/Ethnicity,"White, non-Hispanic",,,,,,10,TOB,TOB1_4,CRDPREV,RACE,WHT,,,,
2015,2015,AK,Alaska,PRAMS,Tobacco,Cigarette smoking before pregnancy,,%,Crude Prevalence,15.9,15.9,,,9.4,25.5,Race/Ethnicity,Hispanic,,,,,,02,TOB,TOB1_4,CRDPREV,RACE,HIS,,,,
2017,2017,AK,Alaska,YRBSS,Tobacco,Current cigarette smoking among youth,,%,Crude Prevalence,10.3,10.3,,,7,14.9,Gender,Female,,,,,,02,TOB,TOB1_1,CRDPREV,GENDER,GENF,,,,
2018,2018,AL,Alabama,STATE,Tobacco,Amount of tobacco product excise tax,,,Yes/No,No,,,,,,Overall,Overall,,,,,,01,TOB,TOB7_0,YESNO,OVERALL,OVR,,,,
2020,2020,MA,Massachusetts,STATE,Tobacco,Amount of tobacco product excise tax,,,Yes/No,No,,,,,,Overall,Overall,,,,,,25,TOB,TOB7_0,YESNO,OVERALL,OVR,,,,
